id,CodigoEntidad,Contraparte,OwnerAccount,Entrega,Periodo,Volumen,Precio,SpecsContrapartePCS,ProximosPasosNTGY,ProximosPasosContraparte,Timing,Origen,Comentarios,CodigoOportunidad
1,ENT0001,Qatar Energy LNG,Laura Sánchez,FCA,H1 2025,"460,000",15.74,1050 BTU/scf,Confirmar especificaciones,Confirmar ventana de entrega,Inmediato,Llamada comercial,Cargo spot venta,OPO-00001
2,ENT0002,Shell LNG Ltd,Carlos López,DES,Q4 2026,"321,000",13.43,1050 BTU/scf,Revisión legal contrato,Confirmar ventana de entrega,+12 meses,LinkedIn,Cargo spot venta,OPO-00002
3,ENT0003,TotalEnergies LNG,Laura Sánchez,FCA,Q3 2025,"183,000",18.33,950 BTU/scf,Enviar term sheet,Revisión board,3-6 meses,RFQ entrada,Cargo term venta,OPO-00003
4,ENT0004,BP Gas & Power,José Martínez,DES,Q2 2025,"114,000",18.47,950 BTU/scf,Aprobación comité,Revisión board,3-6 meses,Conferencia GasTech,Cargo spot compra,OPO-00004
5,ENT0005,Chevron LNG Corp,Laura Sánchez,FOB,Q3 2025,"156,000",16.39,1010 BTU/scf,Confirmar especificaciones,Revisión board,Inmediato,RFQ entrada,Cargo term venta,OPO-00005
6,ENT0006,ExxonMobil Gas,José Martínez,CIF,Q1 2026,"246,000",15.39,1010 BTU/scf,Enviar propuesta final,Due diligence,3-6 meses,Conferencia GasTech,Cargo term venta,OPO-00006
7,ENT0007,Woodside Energy,María Fernández,FCA,Q1 2025,"214,000",12.18,1050 BTU/scf,Enviar term sheet,Validar volúmenes internos,1-3 meses,Referido cliente,Cargo spot venta,OPO-00007
8,ENT0008,Santos LNG,Carlos López,EXW,Q4 2026,"381,000",12.93,1100 BTU/scf,Aprobación comité,Confirmar ventana de entrega,1-3 meses,Licitación pública,Cargo spot compra,OPO-00008
9,ENT0009,Equinor LNG,Laura Sánchez,DAP,Q4 2025,"278,000",8.61,1050 BTU/scf,Aprobación comité,Validar volúmenes internos,3-6 meses,Licitación pública,Cargo spot compra,OPO-00009
10,ENT0010,Eni Gas Solutions,María Fernández,FOB,H1 2025,"287,000",16.68,950 BTU/scf,Enviar propuesta final,Aceptar propuesta,1-3 meses,Llamada comercial,Cargo term venta,OPO-00010
11,ENT0011,Repsol Gas Trading,Carlos López,CIF,Q2 2025,"238,000",15.03,1000 BTU/scf,Enviar propuesta final,Confirmar ventana de entrega,+12 meses,Referido cliente,Cargo term venta,OPO-00011
12,ENT0012,Naturgy LNG,José Martínez,EXW,Q3 2025,"250,000",10.94,950 BTU/scf,Enviar propuesta final,Due diligence,3-6 meses,RFQ entrada,Cargo spot compra,OPO-00012
13,ENT0013,Enagás Trading,Laura Sánchez,DES,Q3 2026,"283,000",13.12,1010 BTU/scf,Enviar term sheet,Aceptar propuesta,+12 meses,Conferencia GasTech,Cargo spot compra,OPO-00013
14,ENT0014,Galp LNG,María Fernández,DES,Q2 2025,"89,000",15.24,950 BTU/scf,Enviar propuesta final,Confirmar ventana de entrega,3-6 meses,Licitación pública,Cargo term compra,OPO-00014
15,ENT0015,RasGas Company,María Fernández,FCA,Q2 2025,"136,000",12.62,1100 BTU/scf,Revisión legal contrato,Due diligence,3-6 meses,RFQ entrada,Cargo term venta,OPO-00015
16,ENT0016,ADNOC LNG,Carlos López,DAP,Q4 2026,"360,000",9.74,1010 BTU/scf,Confirmar especificaciones,Confirmar ventana de entrega,1-3 meses,Llamada comercial,Cargo spot venta,OPO-00016
17,ENT0017,Pertamina Gas,María Fernández,CIF,Q2 2025,"94,000",13.13,1000 BTU/scf,Aprobación comité,Revisión board,6-12 meses,Referido cliente,Cargo term venta,OPO-00017
18,ENT0018,PETRONAS LNG,Carlos López,DES,Q2 2025,"337,000",13.35,1000 BTU/scf,Enviar propuesta final,Aceptar propuesta,6-12 meses,Conferencia GasTech,Cargo spot compra,OPO-00018
19,ENT0019,CNOOC Gas,María Fernández,DES,Q1 2025,"55,000",12.1,950 BTU/scf,Enviar propuesta final,Revisión board,1-3 meses,Referido cliente,Cargo spot compra,OPO-00019
20,ENT0020,Sinopec LNG,Ana García,FCA,Q4 2026,"442,000",11.51,1010 BTU/scf,Aprobación comité,Aceptar propuesta,3-6 meses,LinkedIn,Cargo spot venta,OPO-00020
21,ENT0021,JERA Co.,Laura Sánchez,DES,H2 2025,"72,000",13.26,1100 BTU/scf,Enviar term sheet,Validar volúmenes internos,+12 meses,Conferencia GasTech,Cargo term compra,OPO-00021
22,ENT0022,Tokyo Gas Trading,José Martínez,EXW,Q4 2025,"492,000",16.86,1100 BTU/scf,Confirmar especificaciones,Due diligence,3-6 meses,Licitación pública,Cargo term compra,OPO-00022
23,ENT0023,Kogas International,María Fernández,FCA,Q1 2025,"305,000",14.23,1100 BTU/scf,Enviar term sheet,Revisión board,+12 meses,Llamada comercial,Cargo spot venta,OPO-00023
24,ENT0024,CPC Corp Taiwan,María Fernández,DAP,Q4 2026,"457,000",12.85,1000 BTU/scf,Enviar propuesta final,Confirmar ventana de entrega,1-3 meses,Conferencia GasTech,Cargo term venta,OPO-00024
25,ENT0025,Gail India LNG,Carlos López,FOB,Q2 2026,"363,000",11.01,1050 BTU/scf,Aprobación comité,Aceptar propuesta,1-3 meses,Referido cliente,Cargo term venta,OPO-00025
26,ENT0026,Indian Oil LNG,Ana García,FCA,Q3 2025,"353,000",11.66,1100 BTU/scf,Aprobación comité,Revisión board,1-3 meses,Referido cliente,Cargo term venta,OPO-00026
27,ENT0027,NTPC Gas,José Martínez,CIF,Q3 2025,"131,000",11.02,950 BTU/scf,Enviar propuesta final,Confirmar ventana de entrega,1-3 meses,Conferencia GasTech,Cargo spot venta,OPO-00027
28,ENT0028,Uniper SE,José Martínez,DES,H1 2025,"91,000",9.29,1100 BTU/scf,Enviar term sheet,Validar volúmenes internos,1-3 meses,RFQ entrada,Cargo term compra,OPO-00028
29,ENT0029,RWE Gas Supply,Laura Sánchez,DAP,Q2 2026,"363,000",11.89,1000 BTU/scf,Revisión legal contrato,Revisión board,+12 meses,Llamada comercial,Cargo spot venta,OPO-00029
30,ENT0030,E.ON LNG,Ana García,EXW,Q3 2025,"189,000",13.87,950 BTU/scf,Confirmar especificaciones,Revisión board,6-12 meses,Referido cliente,Cargo spot venta,OPO-00030
31,ENT0031,Fluxys LNG,Carlos López,CIF,Q1 2026,"55,000",17.93,1050 BTU/scf,Enviar term sheet,Aceptar propuesta,+12 meses,Licitación pública,Cargo term venta,OPO-00031
32,ENT0032,Zeebrugge LNG,José Martínez,DES,Q3 2026,"284,000",14.19,950 BTU/scf,Aprobación comité,Aceptar propuesta,1-3 meses,Conferencia GasTech,Cargo term compra,OPO-00032
33,ENT0033,Gate Terminal BV,María Fernández,FCA,Q2 2026,"358,000",16.56,1050 BTU/scf,Confirmar especificaciones,Confirmar ventana de entrega,6-12 meses,Llamada comercial,Cargo term compra,OPO-00033
34,ENT0034,Engie LNG,María Fernández,CIF,Q3 2026,"353,000",15.27,1100 BTU/scf,Aprobación comité,Revisión board,6-12 meses,Llamada comercial,Cargo term compra,OPO-00034
35,ENT0035,Elengy Trading,José Martínez,DES,Q4 2025,"492,000",10.48,950 BTU/scf,Enviar propuesta final,Revisión board,1-3 meses,LinkedIn,Cargo spot venta,OPO-00035
36,ENT0036,Botas LNG,María Fernández,DAP,H2 2025,"110,000",13.34,1050 BTU/scf,Aprobación comité,Aceptar propuesta,1-3 meses,Referido cliente,Cargo spot compra,OPO-00036
37,ENT0037,EGPC Gas,Carlos López,FCA,H2 2025,"168,000",11.63,1010 BTU/scf,Revisión legal contrato,Confirmar ventana de entrega,1-3 meses,Conferencia GasTech,Cargo spot compra,OPO-00037
38,ENT0038,OmanLNG,Carlos López,CIF,Q2 2026,"343,000",17.32,1100 BTU/scf,Revisión legal contrato,Due diligence,Inmediato,Referido cliente,Cargo term venta,OPO-00038
39,ENT0039,Atlantic LNG,Carlos López,FCA,Q1 2026,"279,000",18.37,1100 BTU/scf,Confirmar especificaciones,Validar volúmenes internos,1-3 meses,LinkedIn,Cargo term compra,OPO-00039
40,ENT0040,GNL Quintero,Laura Sánchez,CIF,Q2 2026,"394,000",12.73,1000 BTU/scf,Confirmar especificaciones,Confirmar ventana de entrega,+12 meses,Llamada comercial,Cargo spot venta,OPO-00040
41,ENT0041,GNL Chile SA,Ana García,DAP,Q4 2026,"71,000",10.02,950 BTU/scf,Confirmar especificaciones,Confirmar ventana de entrega,Inmediato,LinkedIn,Cargo term venta,OPO-00041
42,ENT0042,Excelerate Energy,José Martínez,DAP,Q2 2025,"421,000",13.35,1100 BTU/scf,Aprobación comité,Revisión board,1-3 meses,Licitación pública,Cargo term venta,OPO-00042
43,ENT0043,New Fortress Energy,María Fernández,CIF,Q3 2025,"68,000",15.84,1050 BTU/scf,Enviar term sheet,Revisión board,3-6 meses,RFQ entrada,Cargo spot compra,OPO-00043
44,ENT0044,Golar LNG,Laura Sánchez,FCA,H1 2025,"71,000",10.27,1000 BTU/scf,Revisión legal contrato,Revisión board,3-6 meses,Llamada comercial,Cargo spot compra,OPO-00044
45,ENT0045,Höegh LNG,Laura Sánchez,CIF,Q3 2025,"127,000",14.07,1100 BTU/scf,Confirmar especificaciones,Validar volúmenes internos,3-6 meses,RFQ entrada,Cargo term venta,OPO-00045
46,ENT0046,BW LNG,José Martínez,FCA,Q1 2026,"392,000",16.9,1000 BTU/scf,Enviar propuesta final,Confirmar ventana de entrega,+12 meses,RFQ entrada,Cargo spot venta,OPO-00046
47,ENT0047,MOL Shipping,Laura Sánchez,FCA,H2 2025,"499,000",11.42,1010 BTU/scf,Revisión legal contrato,Due diligence,1-3 meses,Referido cliente,Cargo term compra,OPO-00047
48,ENT0048,Mitsui O.S.K. LNG,José Martínez,EXW,Q1 2025,"218,000",10.73,950 BTU/scf,Aprobación comité,Validar volúmenes internos,6-12 meses,Conferencia GasTech,Cargo spot venta,OPO-00048
49,ENT0049,Tokyo LNG Tanker,Ana García,CIF,Q2 2025,"489,000",13.93,1010 BTU/scf,Enviar term sheet,Revisión board,Inmediato,Llamada comercial,Cargo spot venta,OPO-00049
50,ENT0050,Nakilat Shipping,José Martínez,FCA,H1 2025,"82,000",18.09,1000 BTU/scf,Enviar propuesta final,Revisión board,+12 meses,Conferencia GasTech,Cargo spot compra,OPO-00050
51,ENT0026,Galp Energy,María Fernández Garcia,FOB,Q3 2028,"460,000","16,50",1000 BTU/scf,Confirmar especificaciones,Confirmar ventana de entrega,+12 Meses,Llamada comercial,Cargo spot venta,OPO-00051